TcvrId,TcvrLaneIdList,PimId,AccessControllerId,AccessControlType,ResetPath,ResetMask,ResetHoldHi,PresentPath,PresentMask,PresentHoldHi,IoControllerId,IoControlType,IoPath,LedId,LedBluePath,LedYellowPath
53,1 2 3 4 5 6 7 8,1,53,CPLD,/run/devmap/xcvrs/xcvr_ctrl_53/xcvr_reset_53,1,0,/run/devmap/xcvrs/xcvr_ctrl_53/xcvr_present_53,1,0,53,I2C,/run/devmap/xcvrs/xcvr_io_53,,,,
54,1 2 3 4 5 6 7 8,1,54,CPLD,/run/devmap/xcvrs/xcvr_ctrl_54/xcvr_reset_54,1,0,/run/devmap/xcvrs/xcvr_ctrl_54/xcvr_present_54,1,0,54,I2C,/run/devmap/xcvrs/xcvr_io_54,,,,
55,1 2 3 4 5 6 7 8,1,55,CPLD,/run/devmap/xcvrs/xcvr_ctrl_55/xcvr_reset_55,1,0,/run/devmap/xcvrs/xcvr_ctrl_55/xcvr_present_55,1,0,55,I2C,/run/devmap/xcvrs/xcvr_io_55,,,,
56,1 2 3 4 5 6 7 8,1,56,CPLD,/run/devmap/xcvrs/xcvr_ctrl_56/xcvr_reset_56,1,0,/run/devmap/xcvrs/xcvr_ctrl_56/xcvr_present_56,1,0,56,I2C,/run/devmap/xcvrs/xcvr_io_56,,,,
57,1 2 3 4 5 6 7 8,1,57,CPLD,/run/devmap/xcvrs/xcvr_ctrl_57/xcvr_reset_57,1,0,/run/devmap/xcvrs/xcvr_ctrl_57/xcvr_present_57,1,0,57,I2C,/run/devmap/xcvrs/xcvr_io_57,,,,
58,1 2 3 4 5 6 7 8,1,58,CPLD,/run/devmap/xcvrs/xcvr_ctrl_58/xcvr_reset_58,1,0,/run/devmap/xcvrs/xcvr_ctrl_58/xcvr_present_58,1,0,58,I2C,/run/devmap/xcvrs/xcvr_io_58,,,,
59,1 2 3 4 5 6 7 8,1,59,CPLD,/run/devmap/xcvrs/xcvr_ctrl_59/xcvr_reset_59,1,0,/run/devmap/xcvrs/xcvr_ctrl_59/xcvr_present_59,1,0,59,I2C,/run/devmap/xcvrs/xcvr_io_59,,,,
60,1 2 3 4 5 6 7 8,1,60,CPLD,/run/devmap/xcvrs/xcvr_ctrl_60/xcvr_reset_60,1,0,/run/devmap/xcvrs/xcvr_ctrl_60/xcvr_present_60,1,0,60,I2C,/run/devmap/xcvrs/xcvr_io_60,,,,
61,1 2 3 4 5 6 7 8,1,61,CPLD,/run/devmap/xcvrs/xcvr_ctrl_61/xcvr_reset_61,1,0,/run/devmap/xcvrs/xcvr_ctrl_61/xcvr_present_61,1,0,61,I2C,/run/devmap/xcvrs/xcvr_io_61,,,,
62,1 2 3 4 5 6 7 8,1,62,CPLD,/run/devmap/xcvrs/xcvr_ctrl_62/xcvr_reset_62,1,0,/run/devmap/xcvrs/xcvr_ctrl_62/xcvr_present_62,1,0,62,I2C,/run/devmap/xcvrs/xcvr_io_62,,,,
63,1 2 3 4 5 6 7 8,1,63,CPLD,/run/devmap/xcvrs/xcvr_ctrl_63/xcvr_reset_63,1,0,/run/devmap/xcvrs/xcvr_ctrl_63/xcvr_present_63,1,0,63,I2C,/run/devmap/xcvrs/xcvr_io_63,,,,
64,1 2 3 4 5 6 7 8,1,64,CPLD,/run/devmap/xcvrs/xcvr_ctrl_64/xcvr_reset_64,1,0,/run/devmap/xcvrs/xcvr_ctrl_64/xcvr_present_64,1,0,64,I2C,/run/devmap/xcvrs/xcvr_io_64,,,,
